Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,27,1990,36,36,3195,3,2,0,0,3,0,0.08,0.06,0.14,0.08,0.14,2.7,2.7,3.9,0.08,0.11,0.19,0.08,0.19,Matches
2,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,30,1988,33,31,2459,21,8,2,2,4,0,0.77,0.29,1.06,0.7,0.99,20.7,19.2,5.5,0.76,0.2,0.96,0.7,0.91,Matches
3,Nathan Aké\Nathan-Ake,nl NED,DF,Bournemouth,23,1995,38,38,3411,4,0,0,0,3,0,0.11,0,0.11,0.11,0.11,3.4,3.4,0.8,0.09,0.02,0.11,0.09,0.11,Matches
4,Marc Albrighton\Marc-Albrighton,eng ENG,FWMF,Leicester City,28,1989,27,18,1625,2,2,0,0,3,0,0.11,0.11,0.22,0.11,0.22,1.1,1.1,3.1,0.06,0.17,0.23,0.06,0.23,Matches
5,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,29,1989,34,33,2922,0,0,0,0,3,0,0,0,0,0,0,1.1,1.1,0.6,0.03,0.02,0.05,0.03,0.05,Matches
6,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,19,1998,29,27,2462,1,12,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.5,1.5,6.1,0.05,0.22,0.28,0.05,0.28,Matches
7,Alisson\Alisson,br BRA,GK,Liverpool,25,1992,38,38,3420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
8,Dele Alli\Dele-Alli,eng ENG,MFFW,Tottenham,22,1996,25,22,1825,5,3,0,0,4,0,0.25,0.15,0.39,0.25,0.39,5.3,5.3,2.4,0.26,0.12,0.38,0.26,0.38,Matches
9,Miguel Almirón\Miguel-Almiron,py PAR,FWMF,Newcastle Utd,24,1994,10,9,759,0,0,0,0,0,0,0,0,0,0,0,1.7,1.6,0.8,0.2,0.1,0.3,0.19,0.29,Matches
10,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,27,1990,31,31,2759,2,4,0,0,6,0,0.07,0.13,0.2,0.07,0.2,2.7,2.7,3.9,0.09,0.13,0.22,0.09,0.22,Matches
11,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,23,1994,9,7,641,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.05,0.02,0.08,0.05,0.08,Matches
12,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,21,1997,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
