Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Issah Abbas\Issah-Abbas,gh GHA,FW,Mainz 05,19,1998,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.17,0.17,0.17,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,32,1986,17,17,1420,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.1,0.03,0.01,0.03,0.03,0.03,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,28,1990,10,9,790,0,0,0,0,5,0,0,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.02,0.02,0.02,Matches
4,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,19,1999,10,8,721,0,2,0,0,0,0,0,0.25,0.25,0,0.25,0.2,0.2,0.7,0.03,0.09,0.12,0.03,0.12,Matches
5,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,17,2001,2,1,80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,DF,Dortmund,23,1995,25,25,2205,1,0,0,0,1,0,0.04,0,0.04,0.04,0.04,0.8,0.8,0.4,0.03,0.01,0.05,0.03,0.05,Matches
7,Chadrac Akolo\Chadrac-Akolo,cd COD,MFFW,Stuttgart,23,1995,16,5,525,0,1,0,0,0,0,0,0.17,0.17,0,0.17,0.9,0.9,0.3,0.16,0.05,0.2,0.16,0.2,Matches
8,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,23,1995,8,5,499,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hannover 96,23,1995,4,4,313,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,David Alaba\David-Alaba,at AUT,DF,Bayern Munich,26,1992,31,29,2530,3,3,0,0,4,0,0.11,0.11,0.21,0.11,0.21,2.2,2.2,4.9,0.08,0.18,0.25,0.08,0.25,Matches
11,Lucas Alario\Lucas-Alario,ar ARG,FW,Leverkusen,25,1992,27,11,1265,9,3,0,0,1,0,0.64,0.21,0.85,0.64,0.85,7.8,7.8,1.9,0.55,0.14,0.69,0.55,0.69,Matches
12,Miiko Albornoz\Miiko-Albornoz,cl CHI,DFMF,Hannover 96,27,1990,22,19,1660,1,3,0,0,3,1,0.05,0.16,0.22,0.05,0.22,0.3,0.3,1.4,0.02,0.08,0.09,0.02,0.09,Matches
13,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,24,1993,26,11,1211,18,0,1,1,0,0,1.34,0,1.34,1.26,1.26,9.1,8.3,2.5,0.68,0.18,0.86,0.62,0.8,Matches
14,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,27,1991,30,26,2408,2,6,0,0,5,0,0.07,0.22,0.3,0.07,0.3,2.2,2.2,2.8,0.08,0.11,0.19,0.08,0.19,Matches
15,Allan\Allan,br BRA,MFDF,Eint Frankfurt,21,1997,4,2,176,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.05,0.01,0.06,0.05,0.06,Matches
16,Alfons Amade\Alfons-Amade,de GER,MF,Hoffenheim,18,1999,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.78,0,0.78,0.78,0.78,Matches
17,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,21,1996,13,10,754,3,1,0,0,1,0,0.36,0.12,0.48,0.36,0.48,2.2,2.2,1.7,0.26,0.21,0.47,0.26,0.47,Matches
18,Waldemar Anton\Waldemar-Anton,de GER,DF,Hannover 96,22,1996,34,34,3060,1,0,0,0,4,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.2,0.04,0.01,0.04,0.04,0.04,Matches
19,Dennis Aogo\Dennis-Aogo,de GER,MF,Stuttgart,31,1987,15,13,1025,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,1.3,0.04,0.11,0.15,0.04,0.15,Matches
20,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Leverkusen,29,1989,24,22,1891,2,7,0,0,3,0,0.1,0.33,0.43,0.1,0.43,1.4,1.4,2.7,0.07,0.13,0.19,0.07,0.19,Matches
21,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,24,1994,33,33,2872,2,6,0,0,7,0,0.06,0.19,0.25,0.06,0.25,2,2,3.4,0.06,0.11,0.17,0.06,0.17,Matches
22,Takuma Asano\Takuma-Asano,jp JPN,MFFW,Hannover 96,23,1994,13,9,699,0,0,0,0,0,0,0,0,0,0,0,1.1,1.1,0.5,0.14,0.06,0.2,0.14,0.2,Matches
23,Santiago Ascacíbar\Santiago-Ascacibar,ar ARG,MF,Stuttgart,21,1997,27,27,2428,0,0,0,0,10,1,0,0,0,0,0,1.4,1.4,0.7,0.05,0.03,0.08,0.05,0.08,Matches
24,Simon Asta\Simon-Asta,de GER,DF,Augsburg,17,2001,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
25,Jean-Kévin Augustin\Jean-Kevin-Augustin,fr FRA,FW,RB Leipzig,21,1997,17,4,461,3,0,0,0,0,0,0.59,0,0.59,0.59,0.59,2.5,2.5,0.9,0.49,0.18,0.67,0.49,0.67,Matches
26,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,24,1994,34,34,3026,1,4,0,0,5,0,0.03,0.12,0.15,0.03,0.15,1.4,1.4,2.6,0.04,0.08,0.12,0.04,0.12,Matches
27,Kaan Ayhan\Kaan-Ayhan,tr TUR,DF,Düsseldorf,23,1994,28,28,2449,4,1,0,0,10,0,0.15,0.04,0.18,0.15,0.18,2.3,2.3,0.4,0.09,0.01,0.1,0.09,0.1,Matches
28,Florian Baak\Florian-Baak,de GER,MF,Hertha BSC,19,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Holger Badstuber\Holger-Badstuber,de GER,DF,Stuttgart,29,1989,10,5,522,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,34,1984,33,33,2815,0,1,0,0,7,0,0,0.03,0.03,0,0.03,0.8,0.8,1.5,0.03,0.05,0.07,0.03,0.07,Matches
31,Leon Bailey\Leon-Bailey,jm JAM,FWMF,Leverkusen,20,1997,29,21,1914,5,1,0,0,4,0,0.24,0.05,0.28,0.24,0.28,5.7,5.7,3.6,0.27,0.17,0.44,0.27,0.44,Matches
32,Marvin Bakalorz\Marvin-Bakalorz,de GER,MF,Hannover 96,28,1989,25,16,1470,1,0,0,0,5,0,0.06,0,0.06,0.06,0.06,0.5,0.5,0.5,0.03,0.03,0.06,0.03,0.06,Matches
33,Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,20,1998,15,10,937,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.9,0.06,0.09,0.15,0.06,0.15,Matches
34,Philipp Bargfrede\Philipp-Bargfrede,de GER,MFDF,Werder Bremen,29,1989,15,13,1079,0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches
35,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,20,1998,12,4,510,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.04,0.03,0.07,0.04,0.07,Matches
36,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,18,2000,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
37,Fin Bartels\Fin-Bartels,de GER,FW,Werder Bremen,31,1987,2,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Robert Bauer\Robert-Bauer,de GER,DF,Nürnberg,23,1995,22,19,1722,0,0,0,0,4,1,0,0,0,0,0,0.2,0.2,0.7,0.01,0.03,0.05,0.01,0.05,Matches
39,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,28,1990,33,33,2970,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.6,0,0.02,0.02,0,0.02,Matches
